詞條,釋義,中文,頁數
Aûrras,"a step, a pace from 標示不清",一步,6
Ailijt,the stalk or stem of coarse grass,粗草的莖,6
Aomo,a lady's fillet for the hair,女士的髮帶,6
Abak,a small boat or sampan,小船,6
Abûs,the sea,海,6
Abi,pinang: or betel nut,檳榔,6
Abissûs,"travelling apparatus: from Ma-bissas, to make ready",行進用的設備,6
Abo,"ashes, or cinders",灰燼或煤渣,6
Ach,"rust; ach o dippa, the rust of iron; ach o barrieg, the rustof copper; ach, and inach, ino-ach-en, injured by rust",生鏽,6
Achâchab,"five and five, by fives",,6
Achâûan,a fire place,火爐,6
Achiêb,the body,身體,6
Achó,"not yet; as acho aban ja ing, rummies mammabas, I do not yet know it, by and bye I shall know it; witten also achai, and achipa",,6
Achoû,enough,足夠,6
Adam,"a certain small bird, less than a sparrow; variegated with a long tail; from whose cry future good or bad fortune may be presumed: if it cries out twice, or four times, it betokens misfortune; but if once, or thrice, or five times, then good success; if anything above this, it initiates a still greater blessing, according to the number of cries.",一種比烏鴉小型的鳥,6
Ada,"a part or share; from mada, to divide",部分,7
Adach,"a coral chain; it may be of poor materials, but much prized by the natives",一條珊瑚鏈； 它的材料可能很差，但很受當地人的喜愛,7
Adaûdón,the roof the house,屋頂,7
Adda,"paddy; used for that production in its various stages. Numatojóarien, as it just shoots forth. Minochûrgaro, as it puts forth a broad leaf. Tummaabbi-alallabach, as it has two leaflets on the side, and one on the top; a resemblance being supposed to lallabach, a green leek.  Madocka jû adda, as it is now, 1+1/2  or 2 spans high: gûmmasor, túmmûbaron summatis, when it has attained its full length. Tummedinnid, when the grain begins to form. Pûikon ja adda, when the grain is perfect and hangs bent down. Tummaberook ja adda, when the grain is half  ripe and nearly scorched.",稻田,7
Addud,"a piece; adda o ariem, a piece of a lemon: from paddat, to cut or break.",一塊,7
Addas and Addas o rima,the palm of the hand,手掌,
Aggan,a crab,螃蟹,
Agû,"all kinds of missile weapons, as javelins, pikes: &c. from magga, to cast",各種發射性武器 (標槍、長茅),
Agganak,"seems to mean, it is done, when any end is reached",結束 終點,
Ai,"seems that, here, but not far off; ai-i, ai-ies, ai-inies, ailo, ailo-ies, and ailemons, the same",這裡、距離不遠之處,
Aiag,a cockroach,蟑螂,
Aicho and aicho-ies,"there, but not far off. Aicho, aichoies, soo aicho echies, yonder. Pait o ta, so-o roman kallach, gannumma, there, beyond, yonder. Paia innai maro maicho, and mai-hoies, it is so, there it is.",那裏、距離不遠 之處,
Aicho-ech,"beyond, outside, far out of sight",在視線之外,
Aisênnas,small stars,小星星,
A-i-ór,"the following; a-i-or natta, the next; ajor narroa, &c. A-i-or a mato, next after the large one, that is smaller.",下列,
Airo and essuro,"to suppose, to imagine.",猜想,
"Aissen,","is frequently used in different senses; if we meet with this expression alone, it seems to intimate the doing away with anything, as when anything is burnt: aissen o chau, it is burnt in the fire; aissen o cho, some one has taken it away.",,
Aissillak,"as chadsja pila, nearly hit",,
