lemma,zh-def,ori-def,ori-page
Aûrras,一步,"a step, a pace from 標示不清",6
Ailijt,粗草的莖,the stalk or stem of coarse grass,6
Aomo,（女士的）髮帶,a lady's fillet for the hair,6
Abak,小船,a small boat or sampan,6
Abûs,海,the sea,6
Abi,檳榔,pinang: or betel nut,6
Abissûs,行進用的設備,"travelling apparatus: from Ma-bissas, to make ready",6
Abo,灰燼；煤渣,"ashes, or cinders",6
Ach,生鏽,"rust; ach o dippa, the rust of iron; ach o barrieg, the rustof copper; ach, and inach, ino-ach-en, injured by rust",6
Achâchab,五加五,"five and five, by fives",6
Achâûan,火爐,a fire place,6
Achiêb,身體,the body,6
Achó,尚未,"not yet; as acho aban ja ing, rummies mammabas, I do not yet know it, by and bye I shall know it; witten also achai, and achipa",6
Achoû,足夠,enough,6
Adam,一種比烏鴉小的鳥,"a certain small bird, less than a sparrow; variegated with a long tail; from whose cry future good or bad fortune may be presumed: if it cries out twice, or four times, it betokens misfortune; but if once, or thrice, or five times, then good success; if anything above this, it initiates a still greater blessing, according to the number of cries.",6
Ada,部分,"a part or share; from mada, to divide",7
Adach,珊瑚鏈,"a coral chain; it may be of poor materials, but much prized by the natives",7
Adaûdón,屋頂,the roof the house,7
Adda,稻田,"paddy; used for that production in its various stages. Numatojóarien, as it just shoots forth. Minochûrgaro, as it puts forth a broad leaf. Tummaabbi-alallabach, as it has two leaflets on the side, and one on the top; a resemblance being supposed to lallabach, a green leek.  Madocka jû adda, as it is now, 1+1/2  or 2 spans high: gûmmasor, túmmûbaron summatis, when it has attained its full length. Tummedinnid, when the grain begins to form. Pûikon ja adda, when the grain is perfect and hangs bent down. Tummaberook ja adda, when the grain is half  ripe and nearly scorched.",7
Addud,一塊,"a piece; adda o ariem, a piece of a lemon: from paddat, to cut or break.",7
Addas and Addas o rima,手掌,the palm of the hand,8
Aggan,螃蟹,a crab,8
Agû,各種發射性武器 （如標槍、長茅）,"all kinds of missile weapons, as javelins, pikes: &c. from magga, to cast",8
Agganak,結束；終點,"seems to mean, it is done, when any end is reached",8
