詞條	中文	音節	釋義	頁數	備註	轉寫者
Aûrras	一步	A-ûrras	a step, a pace from 標示不清	13		妤蓁_13-41
Ailijt	粗草的莖	A-ilijt	the stalk or stem of coarse grass	13		妤蓁_13-41
Aomo	（女士的）髮帶	A-omo	a lady's fillet for the hair	13		妤蓁_13-41
Abak	小船	Abak	a small boat or sampan	13		妤蓁_13-41
Abûs	海	Abûs	the sea	13		妤蓁_13-41
Abi	檳榔	Abi	pinang: or betel nut	13		妤蓁_13-41
Abissûs	行進用的設備	Abissûs	travelling apparatus: from Ma-bissas, to make ready	13		妤蓁_13-41
Abo	灰燼；煤渣	Abo	ashes, or cinders	13		妤蓁_13-41
Ach	生鏽	Ach	rust; ach o dippa, the rust of iron; ach o barrieg, the rustof copper; ach, and inach, ino-ach-en, injured by rust	13		妤蓁_13-41
Achâchab	五加五	Achâchab	five and five, by fives	13		妤蓁_13-41
Achâûan	火爐	Achâû-an	a fire place	13		妤蓁_13-41
Achiêb	身體	Achiêb	the body	13		妤蓁_13-41
Achó	尚未	Achó	not yet; as acho aban ja ing, rummies mammabas, I do not yet know it, by and bye I shall know it; witten also achai, and achipa	13		妤蓁_13-41
Achoû	足夠	Achoû	enough	13		妤蓁_13-41
Adam	一種比烏鴉小的鳥	Adam	a certain small bird, less than a sparrow; variegated with a long tail; from whose cry future good or bad fortune may be presumed: if it cries out twice, or four times, it betokens misfortune; but if once, or thrice, or five times, then good success; if anything above this, it initiates a still greater blessing, according to the number of cries.	13		妤蓁_13-41
Ada	部分	Ada	a part or share; from mada, to divide	14		妤蓁_13-41
Adach	珊瑚鏈	Adach	a coral chain; it may be of poor materials, but much prized by the natives	14		妤蓁_13-41
Adaûdón	屋頂	Adaûdón	the roof the house	14		妤蓁_13-41
Adda	稻田	Adda	paddy; used for that production in its various stages. Numatojóarien, as it just shoots forth. Minochûrgaro, as it puts forth a broad leaf. Tummaabbi-alallabach, as it has two leaflets on the side, and one on the top; a resemblance being supposed to lallabach, a green leek.  Madocka jû adda, as it is now, 1+1/2  or 2 spans high: gûmmasor, túmmûbaron summatis, when it has attained its full length. Tummedinnid, when the grain begins to form. Pûikon ja adda, when the grain is perfect and hangs bent down. Tummaberook ja adda, when the grain is half  ripe and nearly scorched.	14		妤蓁_13-41
Addud	一塊	Addud	a piece; adda o ariem, a piece of a lemon: from paddat, to cut or break.	14		妤蓁_13-41
Addas and Addas o rima	手掌		the palm of the hand	15		妤蓁_13-41
Aggan	螃蟹		a crab	15		妤蓁_13-41
Agû	各種發射性武器 （如標槍、長茅）		all kinds of missile weapons, as javelins, pikes: &c. from magga, to cast	15		妤蓁_13-41
Agganak	結束；終點		seems to mean, it is done, when any end is reached	15		妤蓁_13-41
Ai	這裡；距離不遠之處		seems that, here, but not far off; ai-i, ai-ies, ai-inies, ailo, ailo-ies, and ailemons, the same	15		妤蓁_13-41
Aiag	蟑螂		a cockroach	15		妤蓁_13-41
